#Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen (source: https://stooq.pl/q/d/?s=mwig40, 2020.04.26)
2004-12-31;1275.25;1828.3;1270.72;1730.1;966718742
2005-12-31;1731.12;2223.02;1614.67;2207.74;777328001
2006-12-31;2202.86;3958.38;2194.63;3733.26;2303200718
2007-12-31;3711.55;5736.31;3618.66;4028.37;2881637297
2008-12-31;4039.31;4078.3;1474.84;1511.27;4232040018
2009-12-31;1534.94;2377.95;1221.7;2346.14;2982048361
2010-12-31;2347.43;2833.21;2198.86;2805.26;4805986287
2011-12-31;2807.69;2993.24;2054.52;2173.89;14523629905
2012-12-31;2188.77;2625.96;2145.01;2552.54;14249062820
2013-12-31;2560.52;3599.26;2453.4;3345.28;10682877920
2014-12-31;3351.76;3710.61;3187.9;3483.45;5184928571
2015-12-31;3508.15;3960.96;3350.45;3567.05;1693776364
2016-12-31;3542.48;4250.12;3221.93;4215.54;1419721111
2017-12-31;4229.85;4997.2;4185.43;4847.27;2369217751
2018-12-31;4876.56;5085.99;3755.1;3909.37;2578154407
2019-12-31;3912.68;4299.31;3570.37;3908.2;1776513656